image_id;data1;data2
real_data_5_id978.jpg;7830;
real_data_5_id979.jpg;16124;
real_data_5_id980.jpg;0174;
real_data_5_id981.jpg;058;
real_data_5_id982.jpg;026;
real_data_5_id983.jpg;0213;
real_data_5_id984.jpg;;
real_data_5_id985.jpg;;
real_data_5_id986.jpg;;
real_data_5_id987.jpg;3;
real_data_5_id988.jpg;28408;5420
real_data_5_id989.jpg;35230;
real_data_5_id990.jpg;18304;642
real_data_5_id991.jpg;18850;848
real_data_5_id992.jpg;04156;41
real_data_5_id993.jpg;07981;69
real_data_5_id994.jpg;65933;2
real_data_5_id995.jpg;02;
real_data_5_id996.jpg;83709;
real_data_5_id997.jpg;36396;2
real_data_5_id998.jpg;5722;
real_data_5_id999.jpg;47;
real_data_1_id0.jpg;047;
real_data_1_id10.jpg;02338;5
real_data_1_id100.jpg;00767;5
real_data_1_id101.jpg;06001;0
real_data_1_id102.jpg;27;
real_data_1_id103.jpg;06442;00
real_data_1_id104.jpg;72543;00
real_data_1_id107.jpg;00022;3138
real_data_1_id108.jpg;03858;30
real_data_1_id109.jpg;14154;3
real_data_1_id11.jpg;02971;14
real_data_1_id110.jpg;;
real_data_1_id111.jpg;05416;37
real_data_1_id113.jpg;01700;
real_data_1_id114.jpg;02060;
real_data_1_id116.jpg;38365;09
real_data_1_id117.jpg;43276;42
real_data_1_id118.jpg;21603;14
real_data_1_id119.jpg;24590;79
real_data_1_id12.jpg;07;
real_data_1_id120.jpg;56110;3
real_data_1_id121.jpg;09;
real_data_1_id122.jpg;02855;7
real_data_1_id123.jpg;61508;0
real_data_1_id124.jpg;09328;
real_data_1_id125.jpg;01059;21
real_data_1_id126.jpg;00781;7
real_data_1_id128.jpg;64420;120
real_data_1_id129.jpg;18107;82
real_data_1_id13.jpg;67;
real_data_1_id131.jpg;03000;0
real_data_1_id132.jpg;01401;78
real_data_1_id133.jpg;;
real_data_1_id134.jpg;33000;
real_data_1_id135.jpg;00714;4
real_data_1_id136.jpg;00451;62
real_data_1_id137.jpg;00667;54
real_data_1_id138.jpg;10666;35
real_data_1_id139.jpg;00653;50
real_data_1_id14.jpg;06907;04
real_data_1_id141.jpg;00700;56
real_data_1_id142.jpg;00732;810
real_data_1_id143.jpg;04335;8
real_data_1_id144.jpg;00786;04
real_data_1_id145.jpg;00809;58
real_data_1_id147.jpg;00626;85
real_data_1_id148.jpg;00591;3
real_data_1_id149.jpg;00698;99
real_data_1_id15.jpg;03549;3
real_data_1_id151.jpg;00767;71
real_data_1_id152.jpg;00802;72
real_data_1_id153.jpg;01024;8
real_data_1_id154.jpg;00727;9
real_data_1_id155.jpg;00822;8
real_data_1_id157.jpg;00910;78
real_data_1_id16.jpg;;
real_data_1_id160.jpg;00999;
real_data_1_id161.jpg;00351;70
real_data_1_id162.jpg;91730;0
real_data_1_id163.jpg;00413;37
real_data_5_id705.jpg;05976;028
real_data_5_id721.jpg;04728;60
real_data_5_id737.jpg;280;
real_data_5_id753.jpg;00498;
real_data_5_id769.jpg;69910;
real_data_5_id785.jpg;0;
real_data_5_id801.jpg;83840;
real_data_5_id817.jpg;58560;40
real_data_5_id833.jpg;72778;
real_data_5_id849.jpg;10266;683
real_data_5_id865.jpg;07221;
real_data_5_id881.jpg;01733;89
real_data_5_id897.jpg;02200;
real_data_5_id913.jpg;2073;
real_data_5_id929.jpg;080;
real_data_5_id945.jpg;03098;58
real_data_5_id961.jpg;03038;
real_data_5_id977.jpg;46758;
real_data_1_id166.jpg;00483;56
real_data_1_id167.jpg;00504;23
real_data_1_id168.jpg;00546;1
real_data_1_id169.jpg;00567;
real_data_1_id17.jpg;02847;
real_data_1_id170.jpg;6600;
real_data_1_id171.jpg;00632;18
real_data_1_id172.jpg;00674;3
real_data_1_id173.jpg;12700;
real_data_1_id174.jpg;35700;
real_data_1_id175.jpg;18400;
real_data_1_id176.jpg;00734;6
real_data_1_id177.jpg;00828;30
real_data_1_id178.jpg;00866;35
real_data_1_id18.jpg;21136;20
real_data_1_id182.jpg;56014;00
real_data_1_id183.jpg;00439;3
real_data_1_id184.jpg;00462;03
real_data_1_id185.jpg;00490;8
real_data_1_id186.jpg;00519;58
real_data_1_id187.jpg;00546;55
real_data_1_id188.jpg;00565;
real_data_1_id189.jpg;00649;13
real_data_1_id19.jpg;03354;0
real_data_1_id190.jpg;00687;92
real_data_1_id191.jpg;00719;28
real_data_1_id192.jpg;00762;53
real_data_1_id193.jpg;00799;5
real_data_1_id194.jpg;00844;8
real_data_1_id195.jpg;00874;6
real_data_1_id197.jpg;02460;5084
real_data_1_id199.jpg;16026;5
real_data_1_id2.jpg;02828;42
real_data_1_id20.jpg;12781;
real_data_1_id200.jpg;37458;1
real_data_1_id202.jpg;02023;56
real_data_1_id203.jpg;26811;2
real_data_1_id204.jpg;07343;4
real_data_1_id205.jpg;12920;451
real_data_1_id206.jpg;15093;39
real_data_1_id207.jpg;01000;2
real_data_1_id208.jpg;03070;
real_data_1_id209.jpg;00797;05
real_data_1_id210.jpg;00852;28
real_data_1_id211.jpg;00907;63
real_data_1_id213.jpg;00773;36
real_data_1_id214.jpg;05560;614
real_data_1_id215.jpg;07756;80
real_data_1_id216.jpg;20999;0
real_data_1_id217.jpg;23947;0
real_data_1_id218.jpg;08603;
real_data_1_id219.jpg;07207;260
real_data_1_id220.jpg;86700;70
real_data_1_id223.jpg;02480;08
real_data_1_id224.jpg;21008;0
real_data_1_id225.jpg;01593;7
real_data_1_id227.jpg;00866;33
real_data_1_id228.jpg;02049;26
real_data_1_id229.jpg;05005;44640
real_data_1_id23.jpg;03651;4
real_data_1_id231.jpg;01023;86
real_data_1_id232.jpg;00170;65
real_data_1_id233.jpg;00030;30
real_data_1_id236.jpg;00758;84
real_data_1_id237.jpg;00896;62
real_data_1_id238.jpg;00425;03
real_data_1_id239.jpg;87670;
real_data_1_id24.jpg;22400;6
real_data_1_id240.jpg;00836;8
real_data_1_id241.jpg;3780;
real_data_1_id242.jpg;97930;
real_data_1_id243.jpg;01024;63
real_data_1_id244.jpg;004;
real_data_1_id245.jpg;00658;
real_data_1_id246.jpg;3910;
real_data_1_id248.jpg;04883;09
real_data_1_id25.jpg;38103;0
real_data_1_id250.jpg;00979;
real_data_1_id251.jpg;00;
real_data_1_id252.jpg;46801;0
real_data_1_id253.jpg;0113;
real_data_1_id254.jpg;00795;37
real_data_1_id255.jpg;00842;
real_data_1_id258.jpg;08150;
real_data_1_id259.jpg;19910;0
real_data_1_id26.jpg;03442;5
real_data_1_id260.jpg;0;
real_data_1_id261.jpg;01127;
real_data_1_id262.jpg;00762;46
real_data_1_id263.jpg;38745;2
real_data_1_id265.jpg;02508;85
real_data_1_id266.jpg;07454;3
real_data_1_id267.jpg;37710;
real_data_1_id268.jpg;30008;12
real_data_1_id269.jpg;39370;38
real_data_1_id27.jpg;02555;
real_data_1_id270.jpg;94043;34
real_data_1_id271.jpg;0740;
real_data_1_id272.jpg;0612;
real_data_1_id273.jpg;09445;0
real_data_1_id274.jpg;02001;43
real_data_1_id275.jpg;7535;
real_data_1_id276.jpg;;
real_data_1_id277.jpg;11283;
real_data_1_id278.jpg;12482;26
real_data_1_id280.jpg;02312;
real_data_1_id281.jpg;01;
real_data_1_id283.jpg;0112;
real_data_1_id284.jpg;02194;6
real_data_1_id285.jpg;22750;26
real_data_1_id286.jpg;0;
real_data_1_id287.jpg;18751;30
real_data_1_id288.jpg;46494;72
real_data_1_id289.jpg;230;
real_data_1_id290.jpg;05679;63
real_data_1_id291.jpg;06574;6
real_data_1_id293.jpg;01661;35
real_data_1_id294.jpg;05440;0518
real_data_1_id298.jpg;08343;80
real_data_1_id299.jpg;03383;8
real_data_1_id30.jpg;23726;77
real_data_1_id300.jpg;01991;5
real_data_1_id301.jpg;02275;24
real_data_1_id302.jpg;02530;1
real_data_1_id303.jpg;02669;12
real_data_1_id304.jpg;01572;896
real_data_1_id305.jpg;02144;58
real_data_1_id307.jpg;08120;
real_data_1_id308.jpg;01626;22
real_data_1_id309.jpg;01885;23
real_data_1_id310.jpg;02026;5
real_data_1_id311.jpg;01102;20
real_data_1_id312.jpg;01072;56
real_data_1_id313.jpg;63190;0
real_data_1_id314.jpg;07584;71
real_data_1_id316.jpg;04813;87
real_data_1_id317.jpg;0048;
real_data_1_id318.jpg;04706;924
real_data_1_id32.jpg;13433;9601
real_data_1_id320.jpg;05294;10
real_data_1_id322.jpg;01502;24041
real_data_1_id323.jpg;27154;10
real_data_1_id324.jpg;00585;029331
real_data_1_id325.jpg;00695;64
real_data_1_id326.jpg;007;
real_data_1_id327.jpg;00843;57
real_data_1_id328.jpg;10816;06
real_data_1_id329.jpg;01206;3
real_data_1_id331.jpg;00978;
real_data_1_id332.jpg;00455;
real_data_1_id334.jpg;00;
real_data_1_id336.jpg;01106;34
real_data_1_id337.jpg;01160;71
real_data_1_id338.jpg;01290;59
real_data_1_id339.jpg;01345;03
real_data_1_id340.jpg;01466;68
real_data_1_id341.jpg;01948;7
real_data_1_id342.jpg;02061;5
real_data_1_id343.jpg;02196;62
real_data_1_id345.jpg;02443;50
real_data_1_id346.jpg;200;
real_data_1_id348.jpg;02068;
real_data_1_id349.jpg;03269;4
real_data_1_id35.jpg;00017;
real_data_1_id350.jpg;03460;25
real_data_1_id353.jpg;00132;0
